t_idx,trafo,name,hv_bus,lv_bus,sn_mva,loading_percent,p_hv_mw,q_hv_mvar,p_lv_mw,q_lv_mvar
0,0,Trafo 0-1,0,1,25.0,130.32041486980057,30.022681887085987,14.991492149997976,-29.95474824495865,-9.896467554908432
0,1,Trafo 0-12,0,12,25.0,27.547998673957295,6.612673708697032,2.567458745548885,-6.6096381397732795,-2.339791012120761
0,2,CS_Trafo_15,7,15,0.25,2.8470853929529336,0.005223702564849953,0.0016272247067406805,-0.004927482720581805,-0.0016195852487988637
0,3,CS_Trafo_16,14,16,0.25,0.18761405695619815,0.0004399901295342773,1.7461478889630724e-08,4.55553923262148e-16,6.976024482850351e-16
0,4,HH_Trafo_17,14,17,1.0,0.3281340797495508,0.002687352254410671,0.0015010351206849485,-0.002247353606995968,-0.0007386694093375212
1,0,Trafo 0-1,0,1,25.0,139.46842301192672,31.65257583032148,16.966630610346908,-31.574770066251773,-11.131196660965788
1,1,Trafo 0-12,0,12,25.0,27.475694769099984,6.5955720990038085,2.5600648507368575,-6.592552443791626,-2.333590646013655
1,2,CS_Trafo_15,7,15,0.25,3.1879786352711106,0.005462014154890342,0.0017197613261986315,-0.005202871241829305,-0.001710101078485377
1,3,CS_Trafo_16,14,16,0.25,0.18764628804955077,0.0004401413184308996,1.746748129222587e-08,4.844578291106145e-16,-2.3066506664987174e-15
1,4,HH_Trafo_17,14,17,1.0,0.2534989219220552,0.0020063497804086675,0.0012772764090038945,-0.0015662128349702,-0.0005147892641830173
2,0,Trafo 0-1,0,1,25.0,131.6262180252256,30.26079673522968,15.266648204198084,-30.191494890143197,-10.069008358260215
2,1,Trafo 0-12,0,12,25.0,27.601852808150507,6.625218028503846,2.5734639641514163,-6.622170579390057,-2.3449052162214503
2,2,CS_Trafo_15,7,15,0.25,1.172930609645464,0.0021472328387138763,0.0006116680123259101,-0.0018572907870864457,-0.0006104619604105378
2,3,CS_Trafo_16,14,16,0.25,0.18756364142642737,0.00043975369357197793,1.745209515671784e-08,5.623609452264634e-16,1.62247454420546e-15
2,4,HH_Trafo_17,14,17,1.0,0.2637799840648857,0.0020999995383027634,0.0013075298818177043,-0.0016602487619305109,-0.0005456973786928545
3,0,Trafo 0-1,0,1,25.0,134.54139474768334,30.7879561625459,15.885113802378164,-30.71555061494329,-10.454696202146122
3,1,Trafo 0-12,0,12,25.0,27.406049939738526,6.579173698821337,2.552751275158567,-6.576169332528131,-2.327423739682026
3,2,CS_Trafo_15,7,15,0.25,1.115725806912723,0.002001239762898856,0.0005674415432601116,-0.0017230960005312375,-0.0005663542670719083
3,3,CS_Trafo_16,14,16,0.25,0.18768778211706708,0.0004403359961197718,1.7475205276302986e-08,0.0,0.0
3,4,HH_Trafo_17,14,17,1.0,0.25006904828879967,0.001975155893197387,0.0012672914260449062,-0.0015348247344204504,-0.0005044724944372235
4,0,Trafo 0-1,0,1,25.0,134.0264274521931,30.695848033332705,15.774333666784063,-30.623995700310317,-10.385407171758459
4,1,Trafo 0-12,0,12,25.0,27.327013790936704,6.560648498418641,2.544233348322489,-6.5576614356877085,-2.320203580382417
4,2,CS_Trafo_15,7,15,0.25,1.5573983501014874,0.002794373222509824,0.00082850800726456,-0.0025140011241402208,-0.0008263122099078138
4,3,CS_Trafo_16,14,16,0.25,0.18774684055913538,0.00044061315480463067,1.7486205458079737e-08,-5.620291778048892e-16,-1.624364372425645e-15
4,4,HH_Trafo_17,14,17,1.0,0.3745576033456978,0.0031097702991500047,0.0016408576656997266,-0.0026691378006464253,-0.0008773031696135967
