t_idx,trafo,name,hv_bus,lv_bus,sn_mva,loading_percent,p_hv_mw,q_hv_mvar,p_lv_mw,q_lv_mvar
0,0,Trafo 0-1,0,1,25.0,94.2554405679581,22.68205543229157,8.63683543894879,-22.646519079984934,-5.971608265015059
0,1,Trafo 0-12,0,12,25.0,84.83687681348083,20.648177752921754,7.132912542198044,-20.61938857025189,-4.973723233600249
0,2,CS_Trafo_15,7,15,0.25,29.09565697858222,0.06591020390680594,0.02083470805431025,-0.0653557908518501,-0.019999999998172972
0,3,CS_Trafo_16,14,16,0.25,0.19841568240950808,0.0004921122483744576,1.9530000857682656e-08,1.9538387580533217e-16,8.662383790599723e-16
0,4,HH_Trafo_17,14,17,1.0,3.2642525518273353,0.0304970293434371,0.010893189440371511,-0.029999999999999232,-0.009999999999991148
1,0,Trafo 0-1,0,1,25.0,94.27204105207593,22.68611712223768,8.638180950659146,-22.65056825134118,-5.972014882221558
1,1,Trafo 0-12,0,12,25.0,84.83687681348049,20.648177752921697,7.132912542197928,-20.619388570251832,-4.9737232336001505
1,2,CS_Trafo_15,7,15,0.25,30.655282098067193,0.06975395091134896,0.020926861585523003,-0.06918802952722923,-0.019999999999520627
1,3,CS_Trafo_16,14,16,0.25,0.19841568240950808,0.0004921122483744581,1.9530000857777524e-08,8.576401567786886e-17,8.769588810197069e-16
1,4,HH_Trafo_17,14,17,1.0,3.264252551827871,0.03049702934343904,0.010893189440381968,-0.030000000000000478,-0.00999999999999458
2,0,Trafo 0-1,0,1,25.0,94.23444036705766,22.676913915402316,8.635142071504918,-22.641393396397145,-5.971102395515967
2,1,Trafo 0-12,0,12,25.0,84.83687681348064,20.648177752921704,7.132912542198044,-20.61938857025184,-4.973723233600259
2,2,CS_Trafo_15,7,15,0.25,27.13254195962808,0.061043681867901975,0.020725577105189876,-0.06050288962165239,-0.019999999987301467
2,3,CS_Trafo_16,14,16,0.25,0.19841568240959645,0.000492112248374677,1.9530000836506833e-08,-1.0961986012746329e-16,1.0720501959733567e-17
2,4,HH_Trafo_17,14,17,1.0,3.264252551827608,0.03049702934343877,0.010893189440374911,-0.03000000000000169,-0.009999999999998004
3,0,Trafo 0-1,0,1,25.0,94.25806839467897,22.68269854545165,8.637048024340157,-22.647160211621664,-5.971672236113724
3,1,Trafo 0-12,0,12,25.0,84.83687681348101,20.64817775292182,7.132912542197986,-20.619388570251953,-4.973723233600182
3,2,CS_Trafo_15,7,15,0.25,29.34212348686149,0.06651885011792558,0.020848949804778413,-0.06596265888035677,-0.019999999998025514
3,3,CS_Trafo_16,14,16,0.25,0.19841568240946392,0.000492112248374348,1.9530000867955472e-08,1.9538387580533289e-16,8.66238379059972e-16
3,4,HH_Trafo_17,14,17,1.0,3.2642525518275267,0.030497029343437888,0.010893189440374948,-0.02999999999999924,-0.009999999999991118
4,0,Trafo 0-1,0,1,25.0,94.2322655660766,22.67638124180021,8.634967264158304,-22.640862362305352,-5.971050551477086
4,1,Trafo 0-12,0,12,25.0,84.83687681348069,20.648177752921747,7.132912542197928,-20.619388570251882,-4.973723233600141
4,2,CS_Trafo_15,7,15,0.25,26.929968801468036,0.06053944159000539,0.02071475136689347,-0.0599999999974524,-0.019999999997185818
4,3,CS_Trafo_16,14,16,0.25,0.19841568240963098,0.000492112248374763,1.953000171297587e-08,-1.0961986012746333e-16,1.0720501959733681e-17
4,4,HH_Trafo_17,14,17,1.0,3.264252551828021,0.030497029343439386,0.010893189440385451,-0.030000000000001078,-0.010000000000005116
5,0,Trafo 0-1,0,1,25.0,94.23226556607663,22.676381241800218,8.634967264158304,-22.64086236230536,-5.971050551477085
5,1,Trafo 0-12,0,12,25.0,84.83687681348069,20.648177752921747,7.132912542197928,-20.619388570251882,-4.973723233600141
5,2,CS_Trafo_15,7,15,0.25,26.929968801468036,0.06053944159000539,0.02071475136689347,-0.0599999999974524,-0.019999999997185818
5,3,CS_Trafo_16,14,16,0.25,0.1984156824097194,0.0004921122483749822,1.9530001691542547e-08,-4.384794405098533e-16,4.2882007838934743e-17
5,4,HH_Trafo_17,14,17,1.0,3.2642525518283247,0.03049702934344007,0.010893189440392468,-0.030000000000001418,-0.01000000000000862
6,0,Trafo 0-1,0,1,25.0,94.23226556607666,22.676381241800225,8.634967264158304,-22.640862362305366,-5.9710505514770835
6,1,Trafo 0-12,0,12,25.0,84.83687681348069,20.648177752921747,7.132912542197928,-20.619388570251882,-4.973723233600141
6,2,CS_Trafo_15,7,15,0.25,26.929968801468036,0.06053944159000539,0.02071475136689347,-0.0599999999974524,-0.019999999997185818
6,3,CS_Trafo_16,14,16,0.25,0.19841568240985202,0.0004921122483753112,1.9530001659395953e-08,-6.5771916076478e-16,6.432301175840215e-17
6,4,HH_Trafo_17,14,17,1.0,3.264252551828476,0.030497029343440413,0.010893189440395976,-0.030000000000002105,-0.010000000000015628
7,0,Trafo 0-1,0,1,25.0,94.2322655660767,22.67638124180024,8.634967264158304,-22.64086236230538,-5.971050551477081
7,1,Trafo 0-12,0,12,25.0,84.83687681348069,20.648177752921747,7.132912542197928,-20.619388570251882,-4.973723233600141
7,2,CS_Trafo_15,7,15,0.25,26.929968801468036,0.06053944159000539,0.02071475136689347,-0.0599999999974524,-0.019999999997185818
